meeting,start,end,speaker,text
EN2001a,2.98,5.94,Speaker_4,Okay. Okay.
EN2001a,11.12,17.72,Speaker_2,Does anyone want to see Steve's feedback from the specification? Is there much more in it
EN2001a,17.72,24.1,Speaker_4,than he said yesterday? Not really. Just what he's talking about
EN2001a,24.1,29.66,Speaker_2,duplication of effort. But duplication of effort and stuff
EN2001a,29.66,38.92,Speaker_1,and it's a shame that we should maybe thank you for having a prototype or a weak sex which is nasty.
EN2001a,41.9,48.3,Speaker_2,"So, it's probably pilot times. I'd say if"
EN2001a,48.3,53.42,Speaker_4,for the prototype we see just like wherever possible chunking the stuff that we have
EN2001a,53.42,62.9,Speaker_2,pre annotated and stuff and for the stuff that we don't have pre annotated right like a stupid baseline. And we should probably be able to basically that means we focus on
EN2001a,62.9,68.96,Speaker_4,on the interface first sort of so that we take the the ready made parts and just see how we get them work together in the interface the way
EN2001a,68.96,74.98,Speaker_2,we want them. And then we have a working prototype and then we can go back and replace pieces either by our own components or
EN2001a,74.98,83.82,Speaker_1,"by more sophisticated components of our own. So, it's probably feasible. Yeah. The thing is I'm away this weekend. So,"
EN2001a,83.82,85.52,unknown,that's really it. If we
EN2001a,85.52,99.42,Speaker_0,"just want to have some data for the user face could even be random data. Oh yeah, yeah, no, but also I like the similarity thing like my just my matrix itself for"
EN2001a,99.42,108.04,Speaker_2,"my stuff. I think I can do that very quickly because I have the algorithm. Yeah. Yeah, I think today's meeting is really the one where we will be"
EN2001a,108.04,112.76,Speaker_4,sort of settled down the data structure and as soon as we have that probably like after today's meeting we then actually need to
EN2001a,114.5,196.56,Speaker_2,"go back first of all and look at night XML to see how far that that which we want is compatible with that with night XML offers us and then just sort of everyone make sure everyone understands the interface. So, I think if today we decide on what day to be one and a half now and later maybe even today we go and look at night XML or some of us look at night XML in a bit more detail just trying to make some sense of that code. And see how does the representation work in the system and then sort of with that knowledge we should be able to then say okay that top night XML data we want to load into it and this is how everyone can access it. And then we should see able to go. So, I will actually Java code for now. But look at the documentation and like seen enough to make me think that we want to use the night XML framework because they have a good event model that synchronizes sort of the data and in every display element that takes a lot of work away from us. So, that would be a reason for staying within the framework and using that general classes but beyond that I haven't looked at it at all. Which is something we should really do. Who actually like for this whole discussion I mean who of us is doing stuff that is happening online and who of us is doing stuff that's happening offline like my"
EN2001a,196.56,197.38,Speaker_4,data is coming.
EN2001a,210.84,211.46,Speaker_0,"So, the"
EN2001a,211.46,225.1,Speaker_3,basic word importance is the combined measure might not be if we want to wait what it is that has touched into the search. Am I going to be mostly using the offline
EN2001a,225.1,247.5,Speaker_1,"the actual stuff is there and there won't be very good processing content or memory content. So, basically apart from the display module the display itself we don't have an extremely high degree of interaction between sort of our modules that create the stuff and the interface. So, the interface is mainly while it's running"
EN2001a,247.5,249.18,unknown,just working on data that's just
EN2001a,249.18,258.06,Speaker_2,"loaded from a file I guess. I don't know the search function that may be online depends how it's going to work. Yeah,"
EN2001a,258.18,263.78,Speaker_4,and the search is I guess the search is sort of strange piece anyway because for the search we're leaving the 9x model
EN2001a,263.78,271.46,Speaker_2,framework. But that's still sort of that's good that means that at least like we don't have the type of situation
EN2001a,271.46,278.98,Speaker_4,where somebody has to do like a billion calculations on data online. That would make it a lot
EN2001a,278.98,300.2,Speaker_2,"more like that would mean that our interface for the data would have to be a lot more careful about how it performs and everything and nobody is modifying that data at online time at all it seems. Nobody is making any changes to the actual data online. So, that's actually making it a lot easier that basically means our browser really is a viewer mostly"
EN2001a,300.2,306.06,Speaker_1,which isn't doing much with the data except for sort of selecting a piece of bit and then just saying it.
EN2001a,310.38,329.88,Speaker_2,"Are we still going to go for dumping it into a database? Are we still going to dump it into a database? Well, some parts are relevant for the search. Yes, I'd say so because if we are I recommend you should all read our classes out of the database. It is so much easier. Well, if we're going to dump the part into a database anyway,"
EN2001a,330.0,338.86,Speaker_1,"we might so dump all the fields we want into the database, cut the everything there. Then we don't even have to worry that much about"
EN2001a,338.86,346.54,Speaker_2,the underlying XML representation and just clear it. If nobody of us is doing much of searching from the data in the online
EN2001a,346.54,353.86,Speaker_4,"stage. And for altogether, like the display itself, I think we are easier if we if it's sitting on the"
EN2001a,353.86,359.64,Speaker_2,"XML than if it's sitting on the SQL stuff because if it's sitting on the XML, we have the the night XML"
EN2001a,359.64,368.98,Speaker_1,framework with all its functionality for synchronizing through all the different levels whenever there's a change whenever something's moving
EN2001a,368.98,376.5,Speaker_2,forward and stuff and we can just look at their code like how their player moves forward and how that moving forward is represented in different windows and stuff. So I think in the actual
EN2001a,376.5,383.6,Speaker_4,"browser itself, I don't want to sit on the SQL if we can sit on the XML because sitting on the XML, we have all we have so much help."
EN2001a,384.64,389.58,Speaker_2,"And for like the calculations that we're doing apart from the search,"
EN2001a,390.06,398.74,Speaker_1,"it seems everyone needs some special representations anyway. Well, we didn't do that. We should try and store everything in the XML format as well."
EN2001a,399.74,408.14,Speaker_2,"Even our results. Yeah, in the night XML XML format, so with the timestamps and stuff so that it's easy to try together things."
EN2001a,411.22,428.94,Speaker_4,"But I'm like what we have to think about is if we go with a multi level idea, like this idea that sort of if you start with the whole meeting series as one entity as one thing that you display as one whole sort of that then the individual chunks. Are"
EN2001a,428.94,438.04,Speaker_2,the individual meetings. Whereas and then you can click on a meeting and then sort of the meeting is the whole thing and the chunks are the individual segments that means
EN2001a,438.04,444.08,Speaker_4,"sort of we have multiple levels of representation, which we probably. If"
EN2001a,444.08,451.56,Speaker_2,"we if we do it this way like we have to discuss it if we do it this way, then we should probably find some abstraction models so that the interface in the sense"
EN2001a,451.56,473.94,Speaker_4,"like deals with it as if it's the same so that the interface doesn't really have to worry whether it's a meeting in the whole meetings here. So that's not serious or a segment within a meeting, you know what I mean? And that's probably stuff that we have to sort of like process twice than like for example that like the summary of a meeting within the whole meeting copers of meeting series with meeting series a good word that I don't really know what how to"
EN2001a,473.94,481.24,Speaker_2,"call it. You know what I mean like not not the whole copus but every meeting that has to do with one topic. Yeah, so in the meeting"
EN2001a,481.24,489.28,Speaker_4,series that a summary for a meeting within the meeting series is sort of compiled offline by a summary module and
EN2001a,489.28,495.14,Speaker_2,"that is separate from a summary of a segment within a meeting. So don't think we can. Well, we"
