meeting,split,der_cnn,der_trans,der_smooth
EN2001a,TRAIN,0.26493199290360736,0.5576581904198699,0.5706682436428149
EN2002a,TRAIN,0.46996466431095407,0.5371024734982333,0.48551236749116605
EN2003a,TRAIN,0.303894297635605,0.35396383866481224,0.2816411682892907
EN2004a,TRAIN,0.35691894312583966,0.43797581728616214,0.5503806538289296
EN2005a,TRAIN,0.4891861126920888,0.5959021058622652,0.42914058053500287
EN2009b,TRAIN,0.3915094339622642,0.5148247978436657,0.3504043126684636
IB4001,TRAIN,0.4678733031674208,0.4597285067873303,0.4063348416289593
IN1001,VAL,0.5157657657657657,0.5671171171171171,0.49954954954954955
IS1000a,TEST,0.512114537444934,0.710352422907489,0.6002202643171806
TS3003a,TEST,0.37529411764705883,0.6341176470588236,0.52
